Job Name,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Description,Bid Destination
LV61,,,3:45,3:45,3:45,3:45,,"Tue, Thu: BETPA>BURMD>BETPA Wed: BETPA>EZRPA>BETPA Fri: BETPA>BURMD>HALMD>BETPA",BURMD
LV02,,,4:00,4:00,4:00,4:00,4:00,Tue-Sat: BETPA>NWTVA>BETPA,NWTVA
LV31,,,4:00,4:00,4:00,4:00,,Tue: BETPA>NEWPA>EZRPA>BETPA Wed: BETPA>NWTVA>EZRPA>BETPA Thu: BETPA>BOMD>BURMD>BETPA Fri: BETPA>NEWPA>BETPA Sat: BETPA>HBGRR>CRLPA>BETPA,NEWPA
LV04,,,4:00,4:00,4:00,4:00,4:00,"Tue, Thu: BETPA>TOMVA>CRLPA>BETPA Wed: BETPA>TOMVA>CRLPA>EZRPA>BETPA Fri: BETPA>TOMVA>BETPA Sat: BETPA>HBGRR>EZRPA>BETPA",TOMVA
LV53,,,4:00,4:00,4:00,,4:00,"Tue, Sat, Thu: BETPA>TOMVA>BETPA Wed: BETPA>TOMVA>EZRPA>BETPA",TOMVA
LV68,,,4:00,4:00,4:00,4:00,4:00,Tue: BETPA>NEWPA>EZRPA>ALLPA>BETPA Wed: BETPA>HBGRR>EZRPA>BETPA Thu: BETPA>NWTVA>BETPA Fri-Sat: BETPA>NEWPA>BETPA,NEWPA
BETD,,,4:00,5:15,5:15,5:15,5:15,Tue: BETPA>TOMVA>BETPA Wed-Sat: BETPA>DUBPA>BETPA,TOMVA
LV84,,,4:30,4:30,3:30,3:30,,Tue-Fri: BETPA>BURMD>BETPA Sat: BETPA>ALLPA>BETPA>BURMD>BETPA,BURMD
BLIV,,,5:00,,4:00,4:00,4:00,"Tue: BETPA>DUBPA>BETPA Thu, Sat: BETPA>NEWPA>EZRPA>BETPA Fri: BETPA>NEWPA>BETPA",NEWPA
BSH8,,,11:00,11:00,11:00,11:00,11:00,Tue-Fri: BETPA>Shift>MKSPA>BETPA>GVAPA>BETPA Sat: BETPA>RDG1>PHLPA>BETPA,PHLPA
BUN4,,,16:20,16:20,16:20,16:20,,Tue-Thu: BETPA>ULNPA>NEWPA>ALLPA>BETPA Fri: BETPA>ULNPA>NEWPA>BETPA,NEWPA
LV52,,,,2:30,2:30,3:15,3:15,Wed-Fri: BETPA>TOMVA>BETPA Sat: BETPA>EZRPA>TOMVA>CRLPA>BETPA,TOMVA
BHA5,,,21:15,21:15,20:00,,21:15,Mon-Tue: BETPA>NOWCT>BETPA Wed: BETPA>STAVA>BETPA Fri: BETPA>WBAPA>STRCT>BETPA,STAVA
BHP1,,,21:15,21:15,21:15,21:15,21:15,Mon: BETPA>PARNJ>BETPA>POTPA>HOMPA>BETPA Tue-Thu: BETPA>Shift>TEN1>BETPA>POTPA>HOMPA>BETPA Fri: BETPA>Shift>HOMPA>POTPA>BETPA,POTPA
