id,created_at,name,numSlic,alphaSlic,street,city,state,zip,instructions
71,2023-11-15 05:22:30.687119+00,Birdrock,18DK,BRDPA,250 Boulder Dr,Breiningsville,PA,18031,
72,2023-11-15 05:22:30.687119+00,Radial,18DL,RADPA,4200 E Braden Blvd,Easton,PA,18040,
73,2023-11-15 05:22:30.687119+00,Dr Pepper,18DR,DRPPA,7350 Industrial Blvd,Allentown,PA,18106,
74,2023-11-15 05:22:30.687119+00,DSV,18DSV,DSVPA,3943 Easton-Nazareth Hwy,Lower Nazareth,PA,18064,
75,2023-11-15 05:22:30.687119+00,Econoco,18ECO,ECOPA,575 Oak Ridge Rd,Hazle Township,PA,18202,
76,2023-11-15 05:22:30.687119+00,Fisher Clinical,18FC,FISPA,700 Nestle Way,Breiningsville,PA,18031,
77,2023-11-15 05:22:30.687119+00,Firestone,18FI,FIRPA,8001 Industrial Blvd,Breiningsville,PA,18031,
78,2023-11-15 05:22:30.687119+00,Frito Lay / Pepsico,18FLP,FLPPA,3873 Glover Rd,Easton,PA,18040,
79,2023-11-15 05:22:30.687119+00,Archer Foods,18FO,AFOPA,1 Blue Valley Dr,Bangor,PA,18013,
80,2023-11-15 05:22:30.687119+00,Fun Pix,18FPX,FPZPA,2020 Feather Way,Bethlehem,PA,18015,
81,2023-11-15 05:22:30.687119+00,Gatuu,18GA,GATPA,7185 Ambassador Dr,Allentown,PA,18103,
82,2023-11-15 05:22:30.687119+00,Grimco,18GC,GMCPA,4 Mcfadden Rd,Easton,PA,18045,
83,2023-11-15 05:22:30.687119+00,Gifts & Things,18GFT,GFTPA,145 Highland Ave,Kutztown,PA,19530,
84,2023-11-15 05:22:30.687119+00,Canada Goose,18GG,CNGPA,2655 Brodhead Rd,Bethlehem,PA,18020,
85,2023-11-15 05:22:30.687119+00,Global Commerce,18GLB,GLBPA,145 Market Way,Mount Pocono,PA,18344,
86,2023-11-15 05:22:30.687119+00,Goat,18GOA,GOAPA,3895 Eastgate Blvd,Easton,PA,18045,
87,2023-11-15 05:22:30.687119+00,HDE Corp,18HDE,HDEPA,639 Grammes Ln,Allentown,PA,18104,
88,2023-11-15 05:22:30.687119+00,Home Depot,18HDG,HDGPA,1951 Glenwood St,Allentown,PA,18103,
89,2023-11-15 05:22:30.687119+00,iHerb,18HRB,18HRB,1540 Van Buren Rd,Easton,PA,18045,
90,2023-11-15 05:22:30.687119+00,Hovertech,18HV,HOVPA,4482 Innovation Way,Allentown,PA,18109,
91,2023-11-15 05:22:30.687119+00,Highwood,18HWD,HWDPA,64 N Conahan Dr,Hazleton,PA,18201,
92,2023-11-15 05:22:30.687119+00,Infinera,18IF,INFPA,7360 Windsor Dr,Allentown,PA,18106,
93,2023-11-15 05:22:30.687119+00,IG Design,18IGD,IGDPA,20 Union Ln,Bloomsburg,PA,17815,
94,2023-11-15 05:22:30.687119+00,Inmar,18INM,INMPA,8150 Industrial Blvd,Breiningsville,PA,18031,
95,2023-11-15 05:22:30.687119+00,Intermix,18INX,INXPA,959 Willowbrook Rd,Northampton,PA,18067,
96,2023-11-15 05:22:30.687119+00,Innovative Office Products,18IO,IOPPA,4779 Hanoverville Rd,Bethlehem,PA,18020,
97,2023-11-15 05:22:30.687119+00,Jukebox,18JB,JBXPA,316 Broadway,Wind Gap,PA,18091,
98,2023-11-15 05:22:30.687119+00,Johnstone,18JST,JSTPA,8000 Quarry Rd,Alburtis,PA,18011,
99,2023-11-15 05:22:30.687119+00,Kitchen Aid,18KA,KITPA,30 Ludwig Ct,Shoemakersville,PA,19555,
100,2023-11-15 05:22:30.687119+00,Kimberly Clark,18KC,KIMPA,211 Logistics Dr,Shoemakersville,PA,19555,
101,2023-11-15 05:22:30.687119+00,Knoll Furniture,18KF,KNOPA,8783 Congdon Hill Rd,Alburtis,PA,18011,
102,2023-11-15 05:22:30.687119+00,KGP Logistics,18KGP,KGPPA,2900 Brodhead Rd,Bethlehem,PA,18020,
103,2023-11-15 05:22:30.687119+00,Kichler Lighting,18KLI,KLIPA,150 Cesanek Rd,Northampton,PA,18067,
104,2023-11-15 05:22:30.687119+00,Kane,18KN,KAEPA,7570 Industrial Pkwy,Macungie,PA,18062,
105,2023-11-15 05:22:30.687119+00,Keystone,18KO,KOAPA,48 Slocum Ave,Exeter,PA,18643,
106,2023-11-15 05:22:30.687119+00,Kohls,18KOT,KOTPA,6900 Hamilton Blvd,Trexlertown,PA,18087,
107,2023-11-15 05:22:30.687119+00,Liquor Control Board,18LB,LCBPA,668 Gravel Pike,East Greenville,PA,18041,
108,2023-11-15 05:22:30.687119+00,Lightning Source,18LS,LITPA,860 Nestle Way,Breiningsville,PA,18031,
109,2023-11-15 05:22:30.687119+00,Lulus,18LU,LULPA,2505 Hollo Rd,Easton,PA,18045,
110,2023-11-15 05:22:30.687119+00,Makespace,18MAS,MASPA,2300 Newlins Mill Rd,Easton,PA,18045,
111,2023-11-15 05:22:30.687119+00,McKesson,18MC,MKSPA,3769 Commerce Center Blvd,Bethlehem,PA,18015,
112,2023-11-15 05:22:30.687119+00,M Design,18MDN,MDNPA,161 Tradeport Rd,Hanover Township,PA,18706,
113,2023-11-15 05:22:30.687119+00,MCF Frames,18MF,MCFPA,2280 Newlins Mill Rd,Easton,PA,18045,
114,2023-11-15 05:22:30.687119+00,Martin Guitar,18MGT,MGTPA,130 Commerce Ln,Easton,PA,18040,
115,2023-11-15 05:22:30.687119+00,Majestic,18MJ,MAJPA,2320 Newlins Mill Rd,Easton,PA,18045,
116,2023-11-15 05:22:30.687119+00,Mack Truck,18MK,MAKPA,8620 Congdon Hill Dr,Alburtis,PA,18011,
117,2023-11-15 05:22:30.687119+00,Mannlake,18ML,MLKPA,485 Stewart Rd,Wilkes-Barre,PA,18706,
118,2023-11-15 05:22:30.687119+00,Mainfreight,18MNF,MNFPA,450 E Moorestown Rd,Wind Gap,PA,18091,
119,2023-11-15 05:22:30.687119+00,Emery,18MRY,MRYPA,3800 Glover Rd,Easton,PA,18040,
120,2023-11-15 05:22:30.687119+00,Mastercraft,18MTC,MTCPA,10195 Old 22,Fogelsville,PA,18031,
121,2023-11-15 05:22:30.687119+00,Nike,18NC,NCTPA,3633 Commerce Center Blvd,Bethlehem,PA,18015,
122,2023-11-15 05:22:30.687119+00,Neu Logistics,18NL,NELPA,2027 S 12th St,Allentown,PA,18103,
123,2023-11-15 05:22:30.687119+00,Nespresso,18NSO,NSOPA,4939 Hanoverville Rd,Bethlehem,PA,18020,
124,2023-11-15 05:22:30.687119+00,Nestle,18NT,NLTPA,555 Nestle Way,Breiningsville,PA,18031,
125,2023-11-15 05:22:30.687119+00,Olympus,18OL,OLYPA,871 Nestle Way,Breiningsville,PA,18031,
126,2023-11-15 05:22:30.687119+00,Owens and Minor,18OM,OWEPA,7437 Industrial Blvd,Allentown,PA,18106,
127,2023-11-15 05:22:30.687119+00,Orasure,18ORA,ORAPA,2500 Emrick Blvd,Bethlehem,PA,18020,
128,2023-11-15 05:22:30.687119+00,Outwater Industries,18OTW,OTWPA,350 N Pennsylvania Ave,Wilkes-Barre,PA,18702,
129,2023-11-15 05:22:30.687119+00,Patagonia,18PG,PTGPA,630 New Commerce Blvd,Wilkes-Barre,PA,18706,
130,2023-11-15 05:22:30.687119+00,Philips Feed,18PI,PHIPA,3747 Hecktown Rd,Easton,PA,18045,
131,2023-11-15 05:22:30.687119+00,Pelican,18PLC,PLCPA,795 Roble Rd,Allentown,PA,18109,
132,2023-11-15 05:22:30.687119+00,Post Office,18PO,POFPA,17 S Commerce Way,Bethlehem,PA,18017,
133,2023-11-15 05:22:30.687119+00,Pennington,18PSE,PSEPA,3985 Eastgate Blvd,Easton,PA,18045,
134,2023-11-15 05:22:30.687119+00,QVC,18QV,QVBPA,3419 Commerce Center Blvd,Bethlehem,PA,18015,
135,2023-11-15 05:22:30.687119+00,Radial,18RAL,RALPA,5185 Crackersport Rd,Allentown,PA,18104,
136,2023-11-15 05:22:30.687119+00,B Braun,18RB,BRUPA,200 Boulder Dr,Breiningsville,PA,18031,
137,2023-11-15 05:22:30.687119+00,Regent Apparel,18RG,RAPPA,200 Cascade Dr,Allentown,PA,18109,
138,2023-11-15 05:22:30.687119+00,Ricoh,18RI,RICPA,5220 Jaindl Blvd,Bethlehem,PA,18020,
139,2023-11-15 05:22:30.687119+00,RJR Vapor,18RJ,RJVPA,7566 Morris Ct,Allentown,PA,18106,
140,2023-11-15 05:22:30.687119+00,Royal Industries,18RO,ROLPA,1135 Plymouth St,Allentown,PA,18109,
141,2023-11-15 05:22:30.687119+00,RR Donnely,18RR,RRDPA,700 Nestle Way,Breiningsville,PA,18031,
142,2023-11-15 05:22:30.687119+00,Smart Warehouse,18SB,SWBPA,4270 Fritch Dr,Bethlehem,PA,18020,
143,2023-11-15 05:22:30.687119+00,Shipbob,18SBO,SBOPA,2900 Broadhead Rd,Bethlehem,PA,18020,
144,2023-11-15 05:22:30.687119+00,Safavieh Carpets,18SC,SVCPA,2410 Northampton St,Easton,PA,18042,
145,2023-11-15 05:22:30.687119+00,Shift 4 Payments,18SFT,SFTPA,969 Postal Rd,Allentown,PA,18109,
146,2023-11-15 05:22:30.687119+00,Stauffer Glove,18SG,SGAPA,361 E 16th St,Red Hill,PA,18076,
147,2023-11-15 05:22:30.687119+00,Snacks 2 U,18SH,SUHPA,111 Logistics Dr,Shoemakersville,PA,19555,
148,2023-11-15 05:22:30.687119+00,Strahman Valve,18SHV,SHVPA,2801 Baglyos Cir,Bethlehem,PA,18020,
149,2023-11-15 05:22:30.687119+00,Scholastic Books,18SK,SBKPA,5 McFadden Rd,Easton,PA,18045,
150,2023-11-15 05:22:30.687119+00,Famous Smoke,18SM,SMOPA,90 Mort Dr,Easton,PA,18040,
151,2023-11-15 05:22:30.687119+00,Smart Warehouse,18SMA,SMAPA,7378 Airport Rd,Bath,PA,18014,
